"variety","treatment","day","rib","cutSite","aStar"
"iceberg","control","1","A","1",-0.51458207533541
"iceberg","control","1","A","2",-0.837594849484206
"iceberg","control","1","A","3",0.529231631288583
"iceberg","control","1","B","1",1.09130671280562
"iceberg","control","1","B","2",1.35332982356402
"iceberg","control","1","B","3",0.0480100609490443
"iceberg","control","1","B","4",0.370077493982904
"iceberg","control","1","C","1",0.121141256064975
"iceberg","control","1","C","2",0.291862336048555
"iceberg","control","1","C","3",-0.0880293713772411
"iceberg","control","1","D","1",-1.68542809923278
"iceberg","control","1","D","2",-1.32777096340053
"iceberg","control","1","D","3",0.371402177699096
"iceberg","control","3","A","1",3.08208199931076
"iceberg","control","3","A","2",3.68109908037694
"iceberg","control","3","A","3",2.48457958508925
"iceberg","control","3","B","1",5.71503105519866
"iceberg","control","3","B","2",5.4207794483617
"iceberg","control","3","B","3",4.80031644438103
"iceberg","control","3","B","4",6.03349384349903
"iceberg","control","3","C","1",5.98962867076082
"iceberg","control","3","C","2",7.50556325779885
"iceberg","control","3","C","3",7.71585335035005
"iceberg","control","3","D","1",5.51076656579601
"iceberg","control","3","D","2",5.3269937354374
"iceberg","control","3","D","3",7.2850873300745
"iceberg","control","5","A","1",5.58905064670045
"iceberg","control","5","A","2",5.33140632672824
"iceberg","control","5","A","3",3.27960651759578
"iceberg","control","5","B","1",8.42334118304227
"iceberg","control","5","B","2",8.41239085737606
"iceberg","control","5","B","3",6.72512660843376
"iceberg","control","5","B","4",8.4020931042761
"iceberg","control","5","C","1",10.4259866835388
"iceberg","control","5","C","2",10.8268129760703
"iceberg","control","5","C","3",8.73721388506549
"iceberg","control","5","D","1",8.77950765918974
"iceberg","control","5","D","2",8.87357325718588
"iceberg","control","5","D","3",11.1553488965996
"iceberg","cys500","1","A","1",-1.23133640765713
"iceberg","cys500","1","A","2",-2.16964166648328
"iceberg","cys500","1","A","3",-2.23259394426844
"iceberg","cys500","1","A","4",-2.57309427431577
"iceberg","cys500","1","A","5",-2.46036294631521
"iceberg","cys500","1","B","1",-2.80603115379771
