variety,R,G,B
romaine,218,184,110
romaine,217,186,106
romaine,219,191,107
romaine,229,202,115
romaine,226,199,112
romaine,230,204,117
romaine,218,193,101
romaine,220,194,101
romaine,216,185,92
romaine,212,181,88
romaine,213,179,82
romaine,212,180,81
romaine,217,178,83
romaine,221,182,87
romaine,214,180,82
romaine,207,174,71
romaine,199,167,66
romaine,197,163,65
romaine,196,162,65
romaine,206,172,75
romaine,238,223,138
romaine,215,176,81
romaine,212,173,80
romaine,206,184,83
romaine,203,187,89
romaine,204,186,88
romaine,211,182,88
romaine,219,185,88
romaine,206,175,69
romaine,218,190,83
romaine,218,189,87
romaine,200,187,83
romaine,198,174,86
romaine,205,178,87
romaine,215,188,83
romaine,221,189,86
romaine,207,182,82
romaine,196,182,75
romaine,184,172,86
romaine,197,178,86
romaine,210,188,89
romaine,214,192,90
romaine,212,119,79
romaine,209,191,79
romaine,201,185,72
romaine,181,166,63
romaine,205,189,111
romaine,200,177,99
romaine,213,186,107
romaine,203,174,94
romaine,214,189,109
romaine,212,191,110
romaine,221,204,116
romaine,224,206,120
romaine,226,204,121
romaine,226,204,121
romaine,216,195,114
romaine,212,191,112
romaine,200,177,97
romaine,188,184,87
romaine,206,197,106
romaine,200,184,88
romaine,221,206,115
romaine,197,179,81
romaine,185,187,86
romaine,194,196,89
romaine,204,200,93
romaine,205,203,94
romaine,208,191,87
romaine,183,183,83
romaine,189,189,91
romaine,193,188,86
romaine,212,207,105
romaine,218,216,115
romaine,207,176,86
romaine,218,186,99
romaine,213,169,80
romaine,217,166,85
romaine,233,187,109
romaine,228,191,131
romaine,232,194,123
romaine,208,185,105
romaine,209,187,101
romaine,227,201,117
romaine,225,196,120
romaine,250,210,140
romaine,216,194,108
romaine,241,211,121
romaine,236,210,125
romaine,241,209,122
romaine,218,198,103
romaine,232,209,113
romaine,247,226,133
romaine,188,180,97
romaine,173,167,79
romaine,182,170,72
romaine,186,174,74
romaine,215,199,103
romaine,240,200,102
romaine,225,196,94
iceberg,149,122,79
iceberg,156,131,90
iceberg,154,125,85
iceberg,181,138,95
iceberg,185,140,98
iceberg,185,140,98
iceberg,183,138,96
iceberg,194,157,112
iceberg,179,136,91
iceberg,205,167,120
iceberg,181,158,108
iceberg,166,135,89
iceberg,186,164,107
iceberg,198,174,128
iceberg,224,197,150
iceberg,232,199,148
iceberg,234,204,150
iceberg,230,209,156
iceberg,235,204,149
iceberg,213,190,136
iceberg,230,213,170
iceberg,223,207,155
iceberg,227,209,161
iceberg,241,226,171
iceberg,238,225,173
iceberg,241,225,174
iceberg,227,206,163
iceberg,219,198,153
iceberg,231,209,160
iceberg,233,211,162
iceberg,241,225,176
iceberg,245,219,170
iceberg,225,182,137
iceberg,172,149,117
iceberg,183,158,127
iceberg,171,148,114
iceberg,180,157,123
iceberg,183,160,126
iceberg,184,158,123
iceberg,183,154,120
iceberg,196,173,139
iceberg,202,179,145
iceberg,192,174,138
iceberg,185,167,129
iceberg,184,164,129
iceberg,181,156,122
iceberg,183,159,125
iceberg,177,153,119
iceberg,186,171,130
iceberg,194,179,138
iceberg,196,182,135
iceberg,212,191,148
iceberg,197,165,124
iceberg,200,171,129
iceberg,203,188,145
iceberg,219,195,149
iceberg,204,177,130
iceberg,204,177,132
iceberg,191,164,119
iceberg,186,157,113
iceberg,184,151,108
iceberg,185,152,109
iceberg,188,153,111
iceberg,189,156,111
iceberg,182,158,112
iceberg,189,170,127
iceberg,228,206,157
iceberg,228,206,159
iceberg,233,215,165
iceberg,237,220,168
iceberg,238,222,171
iceberg,236,221,166
iceberg,238,216,159
iceberg,246,221,165
iceberg,247,224,170
iceberg,237,222,165
iceberg,238,225,173
iceberg,201,182,150
iceberg,200,180,145
iceberg,213,189,151
iceberg,228,189,156
iceberg,231,186,153
iceberg,229,184,151
iceberg,230,184,150
iceberg,228,182,148
iceberg,222,183,150
iceberg,230,197,166
iceberg,231,215,182
iceberg,232,207,176
iceberg,228,194,156
iceberg,220,194,135
iceberg,224,198,141
iceberg,201,171,111
iceberg,233,201,140
iceberg,229,201,138
iceberg,228,199,141
iceberg,232,194,132
iceberg,233,198,142
iceberg,234,200,139
iceberg,232,196,134
