"","variety","treatment","day","rib","cutSite","hueMean"
"1","iceberg","control","1","A","1","43.2911372099064"
"2","iceberg","control","1","A","2","44.1039890098725"
"3","iceberg","control","1","A","3","42.0338155408161"
"4","iceberg","control","1","B","1","40.5548090691546"
"5","iceberg","control","1","B","2","39.358021049628"
"6","iceberg","control","1","B","3","42.0568810158946"
"7","iceberg","control","1","B","4","41.2140151584115"
"8","iceberg","control","1","C","1","41.8706427523915"
"9","iceberg","control","1","C","2","41.6151059027476"
"10","iceberg","control","1","C","3","42.4985546932619"
"11","iceberg","control","1","D","1","46.1983716311607"
"12","iceberg","control","1","D","2","45.2428716811494"
"13","iceberg","control","1","D","3","42.0942225886232"
"14","iceberg","control","3","A","1","36.9695595850758"
"15","iceberg","control","3","A","2","36.8681625884002"
"16","iceberg","control","3","A","3","38.1745669484015"
"17","iceberg","control","3","B","1","33.2950741302055"
"18","iceberg","control","3","B","2","33.397845971165"
"19","iceberg","control","3","B","3","34.2484574094406"
"20","iceberg","control","3","B","4","33.184235705388"
"21","iceberg","control","3","C","1","32.8993502093539"
"22","iceberg","control","3","C","2","31.340628701989"
"23","iceberg","control","3","C","3","31.3996179270302"
"24","iceberg","control","3","D","1","35.2976982675758"
"25","iceberg","control","3","D","2","36.2805673943111"
"26","iceberg","control","3","D","3","34.5742353486668"
"27","iceberg","control","5","A","1","34.349995804721"
"28","iceberg","control","5","A","2","34.9963192316083"
"29","iceberg","control","5","A","3","37.536576180184"
"30","iceberg","control","5","B","1","31.1391402489294"
"31","iceberg","control","5","B","2","30.7409712035315"
"32","iceberg","control","5","B","3","32.2749853251436"
"33","iceberg","control","5","B","4","30.5161060837826"
"34","iceberg","control","5","C","1","29.3437927077085"
"35","iceberg","control","5","C","2","29.3476811101837"
"36","iceberg","control","5","C","3","30.2971896125074"
"37","iceberg","control","5","D","1","32.9523540717863"
"38","iceberg","control","5","D","2","33.1621934599723"
"39","iceberg","control","5","D","3","30.9706248452394"
"40","iceberg","cys500","1","A","1","45.3384164839984"
"41","iceberg","cys500","1","A","2","46.9329513424942"
"42","iceberg","cys500","1","A","3","47.0749899532554"
"43","iceberg","cys500","1","A","4","47.9525685128259"
"44","iceberg","cys500","1","A","5","47.6621613740982"
"45","iceberg","cys500","1","B","1","48.028286346039"
"46","iceberg","cys500","1","B","2","48.8784475945098"
"47","iceberg","cys500","1","B","3","48.2403892600333"
"48","iceberg","cys500","1","B","4","47.8593393140612"
"49","iceberg","cys500","1","C","1","44.7921560050918"
"50","iceberg","cys500","1","C","2","45.5279650696586"
"51","iceberg","cys500","1","C","3","47.1669864598261"
"52","iceberg","cys500","1","C","4","46.8270205406999"
"53","iceberg","cys500","1","D","1","46.8032535930032"
"54","iceberg","cys500","1","D","2","45.3065916355995"
"55","iceberg","cys500","1","D","3","45.1163285066128"
"56","iceberg","cys500","3","A","1","34.9111982492609"
"57","iceberg","cys500","3","A","2","39.6569731943795"
"58","iceberg","cys500","3","A","3","40.7931196676575"
"59","iceberg","cys500","3","A","4","41.2544985144579"
"60","iceberg","cys500","3","A","5","40.2398036385607"
"61","iceberg","cys500","3","B","1","40.0494914515299"
"62","iceberg","cys500","3","B","2","39.1744273804857"
"63","iceberg","cys500","3","B","3","40.5117778365291"
"64","iceberg","cys500","3","B","4","38.9219026178286"
"65","iceberg","cys500","3","C","1","37.1385814590542"
"66","iceberg","cys500","3","C","2","37.5961256817504"
"67","iceberg","cys500","3","C","3","40.4244338412921"
"68","iceberg","cys500","3","C","4","40.8909462490033"
"69","iceberg","cys500","3","D","1","39.3382987260023"
