"","variety","treatment","day","rib","cutSite","aStarMean"
"1","iceberg","control","1","A","1","-0.51458207533541"
"2","iceberg","control","1","A","2","-0.837594849484206"
"3","iceberg","control","1","A","3","0.529231631288583"
"4","iceberg","control","1","B","1","1.09130671280562"
"5","iceberg","control","1","B","2","1.35332982356402"
"6","iceberg","control","1","B","3","0.0480100609490443"
"7","iceberg","control","1","B","4","0.370077493982904"
"8","iceberg","control","1","C","1","0.121141256064975"
"9","iceberg","control","1","C","2","0.291862336048555"
"10","iceberg","control","1","C","3","-0.0880293713772411"
"11","iceberg","control","1","D","1","-1.68542809923278"
"12","iceberg","control","1","D","2","-1.32777096340053"
"13","iceberg","control","1","D","3","0.371402177699096"
"14","iceberg","control","3","A","1","3.08208199931076"
"15","iceberg","control","3","A","2","3.68109908037694"
"16","iceberg","control","3","A","3","2.48457958508925"
"17","iceberg","control","3","B","1","5.71503105519866"
"18","iceberg","control","3","B","2","5.4207794483617"
"19","iceberg","control","3","B","3","4.80031644438103"
"20","iceberg","control","3","B","4","6.03349384349903"
"21","iceberg","control","3","C","1","5.98962867076082"
"22","iceberg","control","3","C","2","7.50556325779885"
"23","iceberg","control","3","C","3","7.71585335035005"
"24","iceberg","control","3","D","1","5.51076656579601"
"25","iceberg","control","3","D","2","5.3269937354374"
"26","iceberg","control","3","D","3","7.2850873300745"
"27","iceberg","control","5","A","1","5.58905064670045"
"28","iceberg","control","5","A","2","5.33140632672824"
"29","iceberg","control","5","A","3","3.27960651759578"
"30","iceberg","control","5","B","1","8.42334118304227"
"31","iceberg","control","5","B","2","8.41239085737606"
"32","iceberg","control","5","B","3","6.72512660843376"
"33","iceberg","control","5","B","4","8.4020931042761"
"34","iceberg","control","5","C","1","10.4259866835388"
"35","iceberg","control","5","C","2","10.8268129760703"
"36","iceberg","control","5","C","3","8.73721388506549"
"37","iceberg","control","5","D","1","8.77950765918974"
"38","iceberg","control","5","D","2","8.87357325718588"
"39","iceberg","control","5","D","3","11.1553488965996"
"40","iceberg","cys500","1","A","1","-1.23133640765713"
"41","iceberg","cys500","1","A","2","-2.16964166648328"
"42","iceberg","cys500","1","A","3","-2.23259394426844"
"43","iceberg","cys500","1","A","4","-2.57309427431577"
"44","iceberg","cys500","1","A","5","-2.46036294631521"
"45","iceberg","cys500","1","B","1","-2.80603115379771"
"46","iceberg","cys500","1","B","2","-3.22048269532854"
"47","iceberg","cys500","1","B","3","-2.73511840310546"
"48","iceberg","cys500","1","B","4","-2.49860058791487"
"49","iceberg","cys500","1","C","1","-1.17252321096728"
"50","iceberg","cys500","1","C","2","-1.5458331826164"
"51","iceberg","cys500","1","C","3","-2.30944105354825"
"52","iceberg","cys500","1","C","4","-2.19199834149805"
"53","iceberg","cys500","1","D","1","-2.07390717587815"
"54","iceberg","cys500","1","D","2","-1.48391163428761"
"55","iceberg","cys500","1","D","3","-1.40699022071188"
"56","iceberg","cys500","3","A","1","6.93578394614645"
"57","iceberg","cys500","3","A","2","2.47195848303897"
"58","iceberg","cys500","3","A","3","1.65151925930556"
"59","iceberg","cys500","3","A","4","1.1844198787026"
"60","iceberg","cys500","3","A","5","1.95885824381332"
"61","iceberg","cys500","3","B","1","2.38732518587606"
"62","iceberg","cys500","3","B","2","3.15612490282544"
"63","iceberg","cys500","3","B","3","2.41077059413007"
"64","iceberg","cys500","3","B","4","2.4299423157625"
"65","iceberg","cys500","3","C","1","4.37511105714748"
"66","iceberg","cys500","3","C","2","4.31888861365483"
"67","iceberg","cys500","3","C","3","2.13546081161664"
"68","iceberg","cys500","3","C","4","1.6202665553388"
"69","iceberg","cys500","3","D","1","2.19307968789"
"70","iceberg","cys500","3","D","2","0.993617704889554"
"71","iceberg","cys500","3","D","3","1.41967079919661"
"72","iceberg","cys500","5","A","1","8.81081089111323"
"73","iceberg","cys500","5","A","2","3.89722152971239"
"74","iceberg","cys500","5","A","3","3.54146982287333"
"75","iceberg","cys500","5","A","4","2.99049537814137"
"76","iceberg","cys500","5","A","5","3.72742556237255"
"77","iceberg","cys500","5","B","1","5.44682822586473"
"78","iceberg","cys500","5","B","2","4.83739146331724"
"79","iceberg","cys500","5","B","3","4.56195255325389"
"80","iceberg","cys500","5","B","4","4.07855473251555"
"81","iceberg","cys500","5","C","1","5.13660352612435"
"82","iceberg","cys500","5","C","2","8.79255929745707"
"83","iceberg","cys500","5","C","3","5.09561418736021"
"84","iceberg","cys500","5","C","4","4.5296338304698"
"85","iceberg","cys500","5","D","1","2.86560916631731"
"86","iceberg","cys500","5","D","2","4.03582005031375"
"87","iceberg","cys500","5","D","3","4.65978507186901"
"88","iceberg","mel1000","1","A","1","-0.926166372937704"
"89","iceberg","mel1000","1","A","2","-1.80432666865689"
"90","iceberg","mel1000","1","A","3","-2.68897141398247"
